,synthetic_mean,real_mean,abs_diff,pct_diff
imp_wd_spath,6.85075,1.18555,5.6652,477.854160516216
edit_distance_dict_0,7.1791,1.86655,5.31255,284.6186815247381
flaps,6.46805,1.73855,4.7295,272.0370423628886
edit_distance_unique_dict_0,4.98895,1.4846,3.50435,236.04674659841035
dups,6.77935,2.168,4.61135,212.70064575645753
imp_wd_dpath,9.70805,3.4381,6.26995,182.36671417352608
imp_wd,12.2629,4.62365,7.6392500000000005,165.22119970153452
nadas,16.59265,6.26535,10.3273,164.8319726751099
withdrawals,15.16575,5.8654,9.300349999999998,158.56292835953215
origin_2,45.574,19.25435,26.31965,136.69456512424466
edit_distance_dict_2,8.7987,3.9374,4.8613,123.4647229135978
edit_distance_unique_dict_1,5.673,2.67715,2.99585,111.90445062846683
origin_changes,6.396,3.1908,3.2052,100.45129748025575
edit_distance_dict_1,6.3308,3.25665,3.07415,94.39608186326438
edit_distance_dict_3,2.72675,1.63665,1.0901,66.60556624812881
announcements,180.62815,109.0475,71.58065,65.64171576606526
nlri_ann,180.62815,109.0475,71.58065,65.64171576606526
origin_0,133.18185,89.6773,43.504549999999995,48.51233255238505
edit_distance_dict_6,0.0706,0.0976,0.02700000000000001,27.66393442622952
edit_distance_dict_5,0.1855,0.22445,0.03895000000000001,17.35353085319671
edit_distance_max,4.21115,3.6507,0.5604499999999999,15.351850330073683
number_rare_ases,42.6675,37.49365,5.1738499999999945,13.799270009721631
rare_ases_avg,0.12720418044722356,0.1449197000389471,0.017715519591723544,12.224369486662273
as_path_max,13.72285,12.8884,0.8344499999999986,6.474426616181981
unique_as_path_max,3.3244,3.1461,0.17829999999999968,5.667334159753335
edit_distance_dict_4,0.85555,0.81515,0.04039999999999999,4.956143041158068
edit_distance_avg,1.8407754775811067,1.8014918345164377,0.03928364306466903,2.1806173257073724
