feature,ks_statistic,wasserstein_distance,similarity_level,importance_weight,mw_statistic,adjusted_p_value,cohens_d,interpretation,capped,synthetic_mean,real_mean,abs_diff,pct_diff
imp_wd_dpath,0.49689999999999995,0.2799202833117067,Poor,1.0,303130051.0,0.0,0.5245496309103476,Medium,False,9.70805,3.4381,6.26995,182.36671417352608
edit_distance_dict_0,0.45849999999999996,0.43337627738496953,Poor,1.0,288405131.5,0.0,0.9678295139638745,Large,False,7.1791,1.86655,5.31255,284.6186815247381
edit_distance_unique_dict_0,0.44520000000000004,0.40616559697452437,Poor,1.0,284363273.5,0.0,0.9196051927378712,Large,False,4.98895,1.4846,3.50435,236.04674659841035
edit_distance_unique_dict_1,0.35124999999999995,0.41401686832025625,Poor,1.0,266419036.0,0.0,0.6219130964480002,Medium,False,5.673,2.67715,2.99585,111.90445062846683
edit_distance_dict_2,0.28500000000000003,0.3993878810273189,Poor,1.0,212392043.5,8.928678227408112e-28,0.5239174532203111,Medium,False,8.7987,3.9374,4.8613,123.4647229135978
edit_distance_dict_1,0.2822,0.3672702376402691,Poor,1.0,239102202.0,1.4746944438833174e-260,0.5062329210172816,Medium,False,6.3308,3.25665,3.07415,94.39608186326438
origin_0,0.25255,0.15859037687642089,Poor,1.0,187124823.0,1.3009526209772037e-28,0.21281674958317412,Small,False,133.18185,89.6773,43.504549999999995,48.51233255238505
imp_wd,0.198,0.31739829923647545,Poor,1.0,204869756.0,2.6282138434069312e-05,0.33235733999583145,Small,False,12.2629,4.62365,7.6392500000000005,165.22119970153452
announcements,0.1778,0.18289063924823118,Poor,1.5,201418557.5,0.23672388287267915,0.2999904482245748,Small,False,180.62815,109.0475,71.58065,65.64171576606526
nlri_ann,0.1778,0.18289063924823118,Poor,1.0,201418557.5,0.23672388287267915,0.2999904482245748,Small,False,180.62815,109.0475,71.58065,65.64171576606526
edit_distance_dict_3,0.17465000000000003,0.23187740195025136,Poor,1.0,188733526.0,9.184978927006995e-27,0.2760783472083752,Small,False,2.72675,1.63665,1.0901,66.60556624812881
origin_2,0.16125,0.19188406086881066,Poor,1.0,198620514.5,0.2407916969566562,0.31260767614903917,Small,False,45.574,19.25435,26.31965,136.69456512424466
flaps,0.15579999999999994,0.3096268492582017,Poor,1.5,223815210.5,1.002365124606987e-101,0.25084097172202985,Small,False,6.46805,1.73855,4.7295,272.0370423628886
nadas,0.15489999999999993,0.19286713593468535,Poor,1.3,227822187.0,2.4170330317082615e-129,0.3229533947619181,Small,False,16.59265,6.26535,10.3273,164.8319726751099
as_path_max,0.15410000000000001,0.07986023397203282,Poor,1.0,211807089.0,1.634755935572946e-24,0.11021160075405584,Negligible,False,13.72285,12.8884,0.8344499999999986,6.474426616181981
imp_wd_spath,0.14274999999999993,0.1624077465168079,Moderate,1.0,191355594.0,2.944004156529871e-17,0.35901616626926536,Small,False,6.85075,1.18555,5.6652,477.854160516216
edit_distance_max,0.13380000000000003,0.16013757831020323,Moderate,1.0,209744074.5,2.3661578448272843e-17,0.1865378048073659,Negligible,False,4.21115,3.6507,0.5604499999999999,15.351850330073683
edit_distance_dict_4,0.12665000000000004,0.22626020097674615,Moderate,1.0,182243521.0,5.89392710504447e-82,0.020701832445875715,Negligible,False,0.85555,0.81515,0.04039999999999999,4.956143041158068
rare_ases_avg,0.11680000000000001,0.037062572298548785,Moderate,1.0,173057296.5,7.952389481704335e-120,-0.15491288383339927,Negligible,False,0.12720418044722356,0.1449197000389471,0.017715519591723544,12.224369486662273
origin_changes,0.08179999999999998,0.16594838121322325,Good,1.0,218834336.0,5.071908759404171e-61,0.30639078577909445,Small,False,6.396,3.1908,3.2052,100.45129748025575
dups,0.07700000000000007,0.263247845333483,Good,1.0,217145460.5,1.3042753586938434e-53,0.2894848968204062,Small,False,6.77935,2.168,4.61135,212.70064575645753
withdrawals,0.0746,0.210980089868336,Good,1.5,212861436.5,6.712561928703177e-29,0.23751821153184546,Small,False,15.16575,5.8654,9.300349999999998,158.56292835953215
edit_distance_avg,0.06259999999999999,0.08175666189847317,Good,1.0,202624048.0,0.02705012541373113,0.039309580043573156,Negligible,False,1.8407754775811067,1.8014918345164377,0.03928364306466903,2.1806173257073724
number_rare_ases,0.062,0.05016553279347336,Good,1.0,212800386.0,2.791394366405416e-28,0.1481360474936941,Negligible,False,42.6675,37.49365,5.1738499999999945,13.799270009721631
unique_as_path_max,0.04520000000000002,0.18575992710876377,Excellent,1.0,212205194.0,2.5144804320568957e-27,0.12569871708874686,Negligible,False,3.3244,3.1461,0.17829999999999968,5.667334159753335
edit_distance_dict_5,0.02429999999999999,0.1532403085198132,Excellent,1.0,195545705.0,5.716569948764136e-11,-0.05885305099393836,Negligible,False,0.1855,0.22445,0.03895000000000001,17.35353085319671
edit_distance_dict_6,0.010300000000000087,0.15951453492886208,Excellent,1.0,199478315.5,0.2827413459289928,-0.0629776036180546,Negligible,False,0.0706,0.0976,0.02700000000000001,27.66393442622952
