Metric,Value
Synthetic Samples,20000
Real Samples,20000
Valid Features Compared,27
Constant in Both (Excluded),0
Constant in Synthetic Only (GAN Issue),0
Constant in Real Only,0
KS Excellent Features,3
KS Good or Better Features,8
Mean KS Statistic,0.1809
Mean Wasserstein Distance,0.2224
Weighted Wasserstein Distance,0.2227
Correlation Similarity (Pearson),0.3710
Correlation Similarity (Spearman),0.1775
PCA Centroid Distance,1.9006
Negligible Effect Features,9
Small Effect Features,12
Medium Effect Features,4
Large Effect Features,2
Distribution Score (Weighted),29.5/100
Distribution Score (Unweighted),29.6/100
Correlation Score,68.6/100
Effect Size Score (Weighted),70.7/100
Effect Size Score (Unweighted),70.4/100
Wasserstein Score (Weighted),55.5/100
Multivariate (PCA) Score,36.6/100
Overall Similarity Score (WEIGHTED),52.9/100
Overall Similarity Score (UNWEIGHTED),52.9/100
Weighting Impact,+0.0 points
