feature,syn_mean_raw,syn_std_raw,real_mean_raw,real_std_raw,mean_diff_raw,std_ratio_raw,syn_mean_scaled,syn_std_scaled,real_mean_scaled,real_std_scaled,mean_diff_scaled,std_ratio_scaled,potential_mean_bias,potential_std_bias
announcements,165.9501,245.21213562864907,193.2666,213.8002194833592,27.31650000000002,1.1469218143049416,-0.05926971136434681,1.0640667110274495,0.05926971136434679,0.9277587170772368,0.11853942272869361,1.1469218143049418,False,False
withdrawals,11.84945,37.775517656072026,19.2937,39.5135534513832,7.444250000000002,0.956014186437329,-0.09585166651076672,0.9727657717975182,0.09585166651076675,1.0175223188084852,0.19170333302153347,0.9560141864373287,False,False
nlri_ann,165.95725,245.21844878968395,193.2666,213.8002194833592,27.309350000000023,1.1469513426237157,-0.05925338856499164,1.0640795752588879,0.059253388564991544,0.9277460479053505,0.11850677712998318,1.1469513426237157,False,False
dups,5.63365,14.127109273957,11.452,12.637491100256629,5.81835,1.1178729355283283,-0.2121197969566073,1.0300393183120022,0.21211979695660715,0.9214279061378166,0.4242395939132144,1.1178729355283286,False,False
origin_0,130.2604,216.5860232496856,184.6961,200.66240807607872,54.4357,1.0793552480819908,-0.1292778513337648,1.0287026973659257,0.12927785133376474,0.953071474098936,0.25855570266752953,1.0793552480819908,False,False
origin_2,35.7294,78.3340672181928,7.8714,19.090046713776704,27.857999999999997,4.103398404031222,0.23734323629453097,1.3347401980288174,-0.2373432362945309,0.32527677466500804,0.4746864725890619,4.103398404031222,False,True
origin_changes,6.14325,12.455403899184265,1.2437,2.654894109590184,4.89955,4.691488016110334,0.26250752678299466,1.334635030035218,-0.26250752678299466,0.28448011067110235,0.5250150535659893,4.691488016110334,True,True
imp_wd,9.67835,19.184428409315966,21.06925,17.28238954794517,11.3909,1.1100564743141637,-0.2977941839025035,1.003058296486291,0.2977941839025035,0.9036101492998537,0.595588367805007,1.110056474314164,True,False
imp_wd_spath,4.00855,12.542872202157445,6.06395,6.650358769351324,2.0554000000000006,1.8860444431903751,-0.10184407430382535,1.2429554079113485,0.10184407430382543,0.659027634475465,0.20368814860765078,1.8860444431903753,False,True
imp_wd_dpath,7.00255,13.353020581704829,15.0053,14.647409301305196,8.002749999999999,0.9116301939152457,-0.2745398283378653,0.9161461569455838,0.2745398283378652,1.0049537225296838,0.5490796566757306,0.9116301939152458,True,False
as_path_max,13.61505,7.243727429773559,12.7343,3.246156248013845,0.8807500000000008,2.2314783628192947,0.07821934373307877,1.2865976510269197,-0.078219343733079,0.5765673879989617,0.15643868746615777,2.2314783628192942,False,True
unique_as_path_max,3.21715,1.4335266399447804,9.2736,3.512158852186238,6.05645,0.408161105541238,-0.7485679845152073,0.35435455422674395,0.7485679845152075,0.8681732517282742,1.4971359690304147,0.408161105541238,True,True
edit_distance_avg,1.3646,0.9695431092489054,2.1074799173034022,0.47028673392391096,0.7428799173034022,2.0615999544774968,-0.4381936370272344,1.1437568578116817,0.43819363702723496,0.5547908823569808,0.8763872740544694,2.0615999544774963,True,True
edit_distance_max,3.97505,2.631154432218358,7.0049,2.4087685854612344,3.02985,1.092323458591827,-0.5148742420193205,0.8942223381749893,0.5148742420193203,0.8186424370376332,1.0297484840386408,1.092323458591827,True,False
edit_distance_dict_0,5.302,14.762137109328098,8.73795,9.190821691104006,3.43595,1.606182516152684,-0.13837556510451676,1.188997509299408,0.13837556510451676,0.7402630132890712,0.2767511302090335,1.606182516152684,False,True
edit_distance_dict_1,6.8943,14.425114616757307,25.7451,29.496440937702967,18.8508,0.48904593768527593,-0.3761523850029547,0.5756684718215554,0.37615238500295467,1.1771255570515038,0.7523047700059093,0.48904593768527593,True,True
edit_distance_dict_2,11.3349,29.675004166530698,20.3782,17.631233870049737,9.0433,1.683092878538681,-0.1821604892998635,1.195465844753453,0.18216048929986356,0.7102791889841502,0.36432097859972706,1.6830928785386807,False,True
edit_distance_dict_3,4.104,9.585315744089794,13.70265,12.1026301546537,9.59865,0.7920026987195053,-0.40246208557512003,0.8037858909123077,0.4024620855751199,1.0148777172247685,0.80492417115024,0.7920026987195053,True,False
edit_distance_dict_4,1.7361,6.284539089032551,4.96735,5.650600007213577,3.2312499999999997,1.1121896933086193,-0.26098959831538276,1.0151850379562342,0.26098959831538276,0.9127804762658706,0.5219791966307655,1.1121896933086195,True,False
edit_distance_dict_5,0.57055,2.4135272845355735,2.4179,3.2561003822801555,1.84735,0.7412324563671616,-0.30676185310063875,0.8015368962342314,0.3067618531006389,1.0813569877425857,0.6135237062012777,0.7412324563671615,True,False
edit_distance_dict_6,0.1964,0.9967330203397957,1.4613,2.4314806013817476,1.2649000000000001,0.40992842787780337,-0.32221726278614615,0.5077975434065176,0.3222172627861461,1.2387468369426875,0.6444345255722923,0.4099284278778034,True,True
edit_distance_unique_dict_0,3.78295,10.117675507021525,5.80595,5.545235078795485,2.023,1.8245710710643577,-0.12304451491122366,1.2307398430941312,0.12304451491122356,0.6745365322361397,0.24608902982244724,1.824571071064358,False,True
edit_distance_unique_dict_1,5.27035,10.917001416299998,16.3474,21.03142718139842,11.07705,0.5190803896539989,-0.3138530450179019,0.6186211089678789,0.3138530450179018,1.191763590568756,0.6277060900358037,0.519080389653999,True,True
number_rare_ases,43.3067,34.27361476622297,46.5803,49.74607306611523,3.273600000000002,0.6889712625290337,-0.03829084536313208,0.8017673958313801,0.038290845363132084,1.1637167461648563,0.07658169072626417,0.6889712625290337,False,True
nadas,17.25755,37.626001698262996,9.19255,12.065345130793245,8.064999999999998,3.1185184750524617,0.14285046061134504,1.3328598387076465,-0.14285046061134504,0.42740161694415624,0.2857009212226901,3.1185184750524617,False,True
flaps,5.4052,19.535877136304226,5.75345,8.722744259169275,0.34825000000000017,2.239648046057097,-0.011509337397256724,1.2912527214230014,0.011509337397256724,0.5765426954901478,0.023018674794513447,2.239648046057097,False,True
