timestamp,announcements,withdrawals,nlri_ann,dups,origin_0,origin_2,origin_changes,imp_wd,imp_wd_spath,imp_wd_dpath,as_path_max,unique_as_path_max,edit_distance_avg,edit_distance_max,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_unique_dict_0,edit_distance_unique_dict_1,number_rare_ases,rare_ases_avg,nadas,flaps,label
2024-01-01 00:00:00,147,5,73,0,0,0,0,0,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 00:01:00,112,0,95,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 00:02:00,86,0,37,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,normal
2024-01-01 00:03:00,101,2,68,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 00:04:00,44,3,20,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,normal
2024-01-01 00:05:00,224,1,115,0,0,0,0,1,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,normal
2024-01-01 00:06:00,38,0,17,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,normal
2024-01-01 00:07:00,90,0,45,0,0,0,0,0,36,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 00:08:00,147,5,73,0,0,0,0,0,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 00:09:00,97,10,66,0,0,0,0,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,normal
2024-01-01 00:10:00,62,7,25,0,0,0,0,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 00:11:00,80,0,39,0,0,0,0,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 00:12:00,108,16,67,0,0,0,0,1,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,normal
2024-01-01 00:13:00,52,1,31,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,normal
2024-01-01 00:14:00,36,0,18,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 00:15:00,74,6,54,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 00:16:00,128,0,84,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 00:17:00,45,6,25,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,normal
2024-01-01 00:18:00,113,0,86,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,normal
2024-01-01 00:19:00,274,2,242,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 00:20:00,37,2,17,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 00:21:00,42,0,14,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 00:22:00,20,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 00:23:00,52,2,24,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 00:24:00,112,0,93,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal
