feature,syn_mean_raw,syn_std_raw,real_mean_raw,real_std_raw,mean_diff_raw,std_ratio_raw,syn_mean_scaled,syn_std_scaled,real_mean_scaled,real_std_scaled,mean_diff_scaled,std_ratio_scaled,potential_mean_bias,potential_std_bias
announcements,180.62815,291.02466741743694,193.2666,213.8002194833592,12.638450000000006,1.3611991050368795,-0.02474047961654731,1.1393659582713367,0.024740479616547406,0.8370310809456987,0.049480959233094715,1.3611991050368792,False,True
withdrawals,15.16575,53.88634301783423,19.2937,39.5135534513832,4.127950000000002,1.3637432807488463,-0.04364180644433524,1.1393735674165897,0.0436418064443353,0.835475109942208,0.08728361288867054,1.3637432807488463,False,True
nlri_ann,180.62815,291.02466741743694,193.2666,213.8002194833592,12.638450000000006,1.3611991050368795,-0.02474047961654731,1.1393659582713367,0.024740479616547406,0.8370310809456987,0.049480959233094715,1.3611991050368792,False,True
dups,6.77935,22.17089851617545,11.452,12.637491100256629,4.67265,1.7543750053145617,-0.12840253794817114,1.218464240714657,0.12840253794817122,0.6945289559093922,0.2568050758963424,1.754375005314562,False,True
origin_0,133.18185,237.59542558704808,184.6961,200.66240807607872,51.514250000000004,1.1840554883452143,-0.11633567707888151,1.0731063221247943,0.11633567707888144,0.9062973253259629,0.23267135415776297,1.1840554883452141,False,False
origin_2,45.574,115.86209011232388,7.8714,19.090046713776704,37.7026,6.069240785498432,0.2214086863801487,1.3607672597211862,-0.22140868638014868,0.22420716327032889,0.4428173727602974,6.069240785498432,False,True
origin_changes,6.396,13.975959729926192,1.2437,2.654894109590184,5.1523,5.264224919344732,0.24809762044478562,1.3459292612171017,-0.24809762044478567,0.255674725498742,0.4961952408895713,5.264224919344732,False,True
imp_wd,12.2629,32.049390661322846,21.06925,17.28238954794517,8.80635,1.8544536663990099,-0.1685720525103523,1.2269547537873942,0.1685720525103524,0.6616259958491724,0.3371441050207047,1.8544536663990105,False,True
imp_wd_spath,6.85075,22.15302490097262,6.06395,6.650358769351324,0.7867999999999995,3.331102226103424,0.02404718787657805,1.3541043053200967,-0.02404718787657803,0.4065033773833077,0.04809437575315608,3.3311022261034244,False,True
imp_wd_dpath,9.70805,16.28750377855572,15.0053,14.647409301305196,5.29725,1.111971642459966,-0.16855598570018657,1.0364953963757342,0.1685559857001867,0.9321239470484527,0.3371119714003733,1.111971642459966,False,False
as_path_max,13.72285,8.019529507407276,12.7343,3.246156248013845,0.98855,2.470469347343958,0.08053497082753845,1.3066338139971083,-0.08053497082753822,0.5289010427924925,0.16106994165507665,2.470469347343959,False,True
unique_as_path_max,3.3244,1.4819158018329468,9.2736,3.512158852186238,5.9492,0.42193871752426243,-0.7410251902957484,0.36916206726581163,0.7410251902957483,0.8749186835279792,1.4820503805914966,0.4219387175242625,True,True
edit_distance_avg,1.8407754775811067,1.01498372555215,2.1074799173034022,0.47028673392391096,0.2667044397222955,2.1582231696894243,-0.16624508496475465,1.265309549506021,0.166245084964755,0.586273730759782,0.33249016992950964,2.1582231696894247,False,True
edit_distance_max,4.21115,3.533254855228193,7.0049,2.4087685854612344,2.79375,1.466830344996234,-0.4193887532526465,1.060775160992372,0.4193887532526467,0.7231750860697495,0.8387775065052931,1.466830344996234,True,True
edit_distance_dict_0,7.1791,6.9844729459792925,8.73795,9.190821691104006,1.5588499999999996,0.7599399902121607,-0.09505804639763461,0.8517994096874053,0.09505804639763463,1.1208772016979909,0.19011609279526925,0.7599399902121607,False,False
edit_distance_dict_1,6.3308,6.875786150089246,25.7451,29.496440937702967,19.4143,0.23310561991567166,-0.41284075284960353,0.29241680252498103,0.4128407528496037,1.2544390934494234,0.8256815056992073,0.2331056199156717,True,True
edit_distance_dict_2,8.7987,11.245016710972086,20.3782,17.631233870049737,11.5795,0.6377895497191521,-0.3646001350280518,0.7081190226808722,0.3646001350280518,1.110270657449137,0.7292002700561035,0.6377895497191522,True,True
edit_distance_dict_3,2.72675,4.7093623073795365,13.70265,12.1026301546537,10.9759,0.38911891441784613,-0.5130062273802168,0.44021388526054434,0.5130062273802168,1.1313093991309586,1.0260124547604337,0.3891189144178461,True,True
edit_distance_dict_4,0.85555,1.9291631037872485,4.96735,5.650600007213577,4.1118,0.34140854092033973,-0.4378091159184163,0.4108099020077603,0.4378091159184164,1.2032795105252327,0.8756182318368327,0.34140854092033973,True,True
edit_distance_dict_5,0.1855,0.5639198970443534,2.4179,3.2561003822801555,2.2324,0.1731887321758355,-0.43104149494791666,0.21776276523474725,0.4310414949479167,1.2573725928870276,0.8620829898958333,0.17318873217583547,True,True
edit_distance_dict_6,0.0706,0.2889979515339158,1.4613,2.4314806013817476,1.3907,0.1188567786104013,-0.37268404935213745,0.15488924164133616,0.3726840493521375,1.3031586708995795,0.745368098704275,0.11885677861040132,True,True
edit_distance_unique_dict_0,4.98895,4.7824127248778465,5.80595,5.545235078795485,0.8170000000000002,0.8624364263952294,-0.07865070362671475,0.9207606419199609,0.07865070362671474,1.067627263575255,0.1573014072534295,0.8624364263952297,False,False
edit_distance_unique_dict_1,5.673,5.2749182209880665,16.3474,21.03142718139842,10.6744,0.25081123480072487,-0.3287642658836854,0.32491966965117514,0.3287642658836855,1.2954749411816864,0.6575285317673709,0.2508112348007248,True,True
number_rare_ases,42.6675,38.06539100613079,46.5803,49.74607306611523,3.9128000000000043,0.7651938868730366,-0.044128112553262586,0.8585728196335547,0.044128112553262655,1.1220330354991608,0.08825622510652524,0.7651938868730366,False,False
rare_ases_avg,0.12720418044722356,0.11384256249866712,0.05425348055672195,0.02963678157163922,0.07295069989050161,3.841259288680935,0.40159647167476803,1.253384231019788,-0.40159647167476786,0.326295138345163,0.803192943349536,3.8412592886809347,True,True
nadas,16.59265,43.491482975774375,9.19255,12.065345130793245,7.400099999999998,3.6046613258310494,0.1151674675742777,1.3536786621006665,-0.11516746757427773,0.375535602304768,0.23033493514855544,3.6046613258310485,False,True
flaps,6.46805,26.453435852662324,5.75345,8.722744259169275,0.7145999999999999,3.0326964848080573,0.018138141699328862,1.3428608238890347,-0.01813814169932892,0.4427943352115653,0.03627628339865778,3.0326964848080573,False,True
