feature,cohens_d,abs_d,interpretation,capped,importance_weight
unique_as_path_max,-2.2070939529848186,2.2070939529848186,Large,False,1.0
edit_distance_dict_3,-1.1952526449916332,1.1952526449916332,Large,False,1.0
edit_distance_dict_4,-0.9738933986977272,0.9738933986977272,Large,False,1.0
edit_distance_dict_5,-0.95537045812595,0.95537045812595,Large,False,1.0
edit_distance_max,-0.9239373334120794,0.9239373334120794,Large,False,1.0
edit_distance_dict_1,-0.9065194782781063,0.9065194782781063,Large,False,1.0
rare_ases_avg,0.877001742028431,0.877001742028431,Large,False,1.0
edit_distance_dict_6,-0.8032143980784997,0.8032143980784997,Large,False,1.0
edit_distance_dict_2,-0.7830864316735943,0.7830864316735943,Medium,False,1.0
edit_distance_unique_dict_1,-0.6962131798956168,0.6962131798956168,Medium,False,1.0
origin_changes,0.5121966453308922,0.5121966453308922,Medium,False,1.0
origin_2,0.4540759644639499,0.4540759644639499,Small,False,1.0
imp_wd,-0.34203035854419206,0.34203035854419206,Small,False,1.0
imp_wd_dpath,-0.3419968058952334,0.3419968058952334,Small,False,1.0
edit_distance_avg,-0.3371738116145131,0.3371738116145131,Small,False,1.0
dups,-0.2589421444303084,0.2589421444303084,Small,False,1.0
origin_0,-0.23425614761244956,0.23425614761244956,Small,False,1.0
nadas,0.23187203235031484,0.23187203235031484,Small,False,1.3
edit_distance_dict_0,-0.19097613107053615,0.19097613107053615,Negligible,False,1.0
as_path_max,0.16159079670263074,0.16159079670263074,Negligible,False,1.0
edit_distance_unique_dict_0,-0.15778625936773663,0.15778625936773663,Negligible,False,1.0
number_rare_ases,-0.08834007247054793,0.08834007247054793,Negligible,False,1.0
withdrawals,-0.08736466811457762,0.08736466811457762,Negligible,False,1.5
announcements,-0.049494872203421615,0.049494872203421615,Negligible,False,1.5
nlri_ann,-0.049494872203421615,0.049494872203421615,Negligible,False,1.0
imp_wd_spath,0.048107084765828804,0.048107084765828804,Negligible,False,1.0
flaps,0.03628134511067353,0.03628134511067353,Negligible,False,1.5
