feature,mw_statistic,p_value,importance_weight,adjusted_p_value,similar
announcements,125559850.0,0.0,1.5,0.0,False
withdrawals,112898151.0,0.0,1.5,0.0,False
nlri_ann,125559850.0,0.0,1.0,0.0,False
dups,75571567.5,0.0,1.0,0.0,False
origin_0,99288670.0,0.0,1.0,0.0,False
origin_2,286199232.0,0.0,1.0,0.0,False
origin_changes,290486668.0,0.0,1.0,0.0,False
imp_wd,70674346.5,0.0,1.0,0.0,False
imp_wd_spath,90412613.0,0.0,1.0,0.0,False
imp_wd_dpath,112105435.0,0.0,1.0,0.0,False
unique_as_path_max,14269942.0,0.0,1.0,0.0,False
edit_distance_avg,150500143.0,0.0,1.0,0.0,False
edit_distance_dict_1,57970028.0,0.0,1.0,0.0,False
edit_distance_max,85378262.5,0.0,1.0,0.0,False
edit_distance_dict_3,47527168.5,0.0,1.0,0.0,False
edit_distance_dict_2,97736029.5,0.0,1.0,0.0,False
edit_distance_dict_6,92239363.5,0.0,1.0,0.0,False
edit_distance_unique_dict_1,82672283.0,0.0,1.0,0.0,False
edit_distance_dict_4,58662589.5,0.0,1.0,0.0,False
edit_distance_dict_5,70602336.5,0.0,1.0,0.0,False
flaps,116901296.0,0.0,1.5,0.0,False
rare_ases_avg,291410839.0,0.0,1.0,0.0,False
as_path_max,164985132.0,1.3550758722040938e-203,1.0,1.5907412412830666e-203,False
edit_distance_dict_0,174626824.5,1.30516852395563e-107,1.0,1.468314589450084e-107,False
number_rare_ases,176288918.0,1.0007718163223059e-93,1.0,1.0808335616280904e-93,False
edit_distance_unique_dict_0,176963148.5,2.7451785153850855e-89,1.0,2.8507623044383583e-89,False
nadas,183514209.5,1.5352932194088794e-46,1.3,1.5352932194088794e-46,False
