feature,ks_statistic,wasserstein_distance,similarity_level,importance_weight,cohens_d,abs_d,interpretation,ks_weighted,effect_weighted,composite_score
unique_as_path_max,0.79725,0.17956803421746886,Poor,1.0,-2.2070939529848186,2.2070939529848186,Large,0.79725,2.2070939529848186,1.5021719764924093
edit_distance_dict_3,0.6412,0.27240551719063,Poor,1.0,-1.1952526449916332,1.1952526449916332,Large,0.6412,1.1952526449916332,0.9182263224958166
edit_distance_dict_4,0.6755,0.3293897448620472,Poor,1.0,-0.9738933986977272,0.9738933986977272,Large,0.6755,0.9738933986977272,0.8246966993488636
edit_distance_dict_5,0.6114999999999999,0.39401814200517654,Poor,1.0,-0.95537045812595,0.95537045812595,Large,0.6114999999999999,0.95537045812595,0.7834352290629749
edit_distance_max,0.51965,0.14954634845825732,Poor,1.0,-0.9239373334120794,0.9239373334120794,Large,0.51965,0.9239373334120794,0.7217936667060396
edit_distance_dict_1,0.5054,0.40577861287128714,Poor,1.0,-0.9065194782781063,0.9065194782781063,Large,0.5054,0.9065194782781063,0.7059597391390531
edit_distance_dict_6,0.5219,0.4346551759471118,Poor,1.0,-0.8032143980784997,0.8032143980784997,Large,0.5219,0.8032143980784997,0.6625571990392498
rare_ases_avg,0.4373,0.13603167002843797,Poor,1.0,0.877001742028431,0.877001742028431,Large,0.4373,0.877001742028431,0.6571508710142155
edit_distance_dict_2,0.4721,0.2557371792874279,Poor,1.0,-0.7830864316735943,0.7830864316735943,Medium,0.4721,0.7830864316735943,0.6275932158367972
edit_distance_unique_dict_1,0.40785000000000005,0.5039757202791435,Poor,1.0,-0.6962131798956168,0.6962131798956168,Medium,0.40785000000000005,0.6962131798956168,0.5520315899478084
