,syn_count,real_count,syn_mean,real_mean,syn_std,real_std,syn_min,real_min,syn_25%,real_25%,syn_50%,real_50%,syn_75%,real_75%,syn_max,real_max
announcements,20000.0,20000.0,180.62815,193.2666,291.02466741743694,213.8002194833592,0.0,12.0,11.0,85.0,51.0,127.0,181.0,212.0,1810.0,2111.0
withdrawals,20000.0,20000.0,15.16575,19.2937,53.88634301783423,39.5135534513832,0.0,0.0,1.0,5.0,3.0,9.0,9.0,17.0,509.0,500.0
nlri_ann,20000.0,20000.0,180.62815,193.2666,291.02466741743694,213.8002194833592,0.0,12.0,11.0,85.0,51.0,127.0,181.0,212.0,1810.0,2111.0
dups,20000.0,20000.0,6.77935,11.452,22.17089851617545,12.637491100256629,0.0,0.0,0.0,4.0,1.0,8.0,4.0,15.0,209.0,191.0
origin_0,20000.0,20000.0,133.18185,184.6961,237.59542558704808,200.66240807607872,0.0,8.0,1.0,82.0,27.0,122.0,113.0,204.0,1352.0,1961.0
origin_2,20000.0,20000.0,45.574,7.8714,115.86209011232388,19.090046713776704,0.0,0.0,3.0,0.0,11.0,2.0,34.0,6.0,1022.0,252.0
origin_changes,20000.0,20000.0,6.396,1.2437,13.975959729926192,2.654894109590184,0.0,0.0,1.0,0.0,2.0,1.0,5.0,1.0,123.0,52.0
imp_wd,20000.0,20000.0,12.2629,21.06925,32.049390661322846,17.28238954794517,0.0,0.0,0.0,11.0,4.0,17.0,9.0,26.0,279.0,232.0
imp_wd_spath,20000.0,20000.0,6.85075,6.06395,22.15302490097262,6.650358769351324,0.0,0.0,0.0,2.0,0.0,4.0,2.0,8.0,212.0,102.0
imp_wd_dpath,20000.0,20000.0,9.70805,15.0053,16.28750377855572,14.647409301305196,0.0,0.0,4.0,7.0,6.0,11.0,9.0,18.0,135.0,228.0
as_path_max,20000.0,20000.0,13.72285,12.7343,8.019529507407276,3.246156248013845,0.0,6.0,8.0,11.0,11.0,12.0,16.0,14.0,31.0,43.0
unique_as_path_max,20000.0,20000.0,3.3244,9.2736,1.4819158018329468,3.512158852186238,1.0,2.0,2.0,7.0,3.0,9.0,4.0,11.0,9.0,31.0
edit_distance_avg,20000.0,20000.0,1.8407754775811067,2.1074799173034022,1.01498372555215,0.47028673392391096,0.0,0.465648854961832,1.1630422332627366,1.803030303030303,1.754165996047556,2.0789473684210527,2.412110408348739,2.380303292145511,6.38,5.487179487179487
edit_distance_max,20000.0,20000.0,4.21115,7.0049,3.533254855228193,2.4087685854612344,0.0,2.0,2.0,6.0,4.0,7.0,6.0,8.0,21.0,38.0
edit_distance_dict_0,20000.0,20000.0,7.1791,8.73795,6.9844729459792925,9.190821691104006,0.0,0.0,0.0,3.0,6.0,6.0,12.0,11.0,44.0,117.0
edit_distance_dict_1,20000.0,20000.0,6.3308,25.7451,6.875786150089246,29.496440937702967,0.0,0.0,0.0,11.0,4.0,18.0,11.0,29.0,40.0,494.0
edit_distance_dict_2,20000.0,20000.0,8.7987,20.3782,11.245016710972086,17.631233870049737,0.0,0.0,0.0,9.0,3.0,16.0,16.0,26.0,59.0,230.0
edit_distance_dict_3,20000.0,20000.0,2.72675,13.70265,4.7093623073795365,12.1026301546537,0.0,0.0,0.0,6.0,0.0,11.0,4.0,17.0,29.0,207.0
edit_distance_dict_4,20000.0,20000.0,0.85555,4.96735,1.9291631037872485,5.650600007213577,0.0,0.0,0.0,2.0,0.0,3.0,0.0,6.0,15.0,109.0
edit_distance_dict_5,20000.0,20000.0,0.1855,2.4179,0.5639198970443534,3.2561003822801555,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,5.0,73.0
edit_distance_dict_6,20000.0,20000.0,0.0706,1.4613,0.2889979515339158,2.4314806013817476,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,58.0
edit_distance_unique_dict_0,20000.0,20000.0,4.98895,5.80595,4.7824127248778465,5.545235078795485,0.0,0.0,0.0,3.0,4.0,4.0,8.0,7.0,28.0,103.0
edit_distance_unique_dict_1,20000.0,20000.0,5.673,16.3474,5.2749182209880665,21.03142718139842,0.0,0.0,0.0,7.0,5.0,11.0,9.0,18.0,28.0,332.0
number_rare_ases,20000.0,20000.0,42.6675,46.5803,38.06539100613079,49.74607306611523,0.0,5.0,16.0,23.0,28.0,31.0,61.0,47.0,232.0,545.0
rare_ases_avg,20000.0,20000.0,0.12720418044722356,0.05425348055672195,0.11384256249866712,0.02963678157163922,0.0,0.0016492578339747,0.04620122985311855,0.0326409495548961,0.10088579726921196,0.0489417989417989,0.1670711543640477,0.07009965822077621,0.7764705882352942,0.2882882882882883
nadas,20000.0,20000.0,16.59265,9.19255,43.491482975774375,12.065345130793245,0.0,0.0,1.0,2.0,5.0,6.0,13.0,12.0,364.0,250.0
flaps,20000.0,20000.0,6.46805,5.75345,26.453435852662324,8.722744259169275,0.0,0.0,0.0,2.0,1.0,4.0,5.0,6.0,282.0,175.0
