feature,ks_statistic,ks_pvalue,wasserstein_distance,similarity_level,similar_by_threshold,importance_weight,adjusted_pvalue,similar_by_adjusted_pvalue
unique_as_path_max,0.79725,0.0,0.17956803421746886,Poor,False,1.0,0.0,False
edit_distance_dict_4,0.6755,0.0,0.3293897448620472,Poor,False,1.0,0.0,False
edit_distance_dict_3,0.6412,0.0,0.27240551719063,Poor,False,1.0,0.0,False
imp_wd_spath,0.6145499999999999,0.0,0.3206621955509581,Poor,False,1.0,0.0,False
edit_distance_dict_5,0.6114999999999999,0.0,0.39401814200517654,Poor,False,1.0,0.0,False
imp_wd,0.55375,0.0,0.3339217226634785,Poor,False,1.0,0.0,False
origin_0,0.54625,0.0,0.20743870400823772,Poor,False,1.0,0.0,False
dups,0.5458,0.0,0.3467072455764525,Poor,False,1.0,0.0,False
edit_distance_dict_6,0.5219,0.0,0.4346551759471118,Poor,False,1.0,0.0,False
edit_distance_max,0.51965,0.0,0.14954634845825732,Poor,False,1.0,0.0,False
edit_distance_dict_1,0.5054,0.0,0.40577861287128714,Poor,False,1.0,0.0,False
edit_distance_dict_2,0.4721,0.0,0.2557371792874279,Poor,False,1.0,0.0,False
announcements,0.4481,0.0,0.1858827618800506,Poor,False,1.5,0.0,False
nlri_ann,0.4481,0.0,0.1858827618800506,Poor,False,1.0,0.0,False
flaps,0.4459000000000001,0.0,0.2487430492008631,Poor,False,1.5,0.0,False
rare_ases_avg,0.4373,0.0,0.13603167002843797,Poor,False,1.0,0.0,False
edit_distance_unique_dict_1,0.40785000000000005,0.0,0.5039757202791435,Poor,False,1.0,0.0,False
origin_2,0.3929,0.0,0.05545724339324597,Poor,False,1.0,0.0,False
withdrawals,0.3833,0.0,0.13093010374843722,Poor,False,1.5,0.0,False
imp_wd_dpath,0.38125,0.0,0.26614295524554005,Poor,False,1.0,0.0,False
origin_changes,0.34604999999999997,0.0,0.1539273319872428,Poor,False,1.0,0.0,False
edit_distance_avg,0.31065,0.0,0.03059847643781292,Poor,False,1.0,0.0,False
as_path_max,0.28315,0.0,0.30461336398152933,Poor,False,1.0,0.0,False
edit_distance_unique_dict_0,0.24285,0.0,0.2986119529122825,Poor,False,1.0,0.0,False
edit_distance_dict_0,0.23704999999999998,0.0,0.31942905190247883,Poor,False,1.0,0.0,False
number_rare_ases,0.2061,0.0,0.29357469904644606,Poor,False,1.0,0.0,False
nadas,0.18184999999999998,7.379512364224298e-290,0.2980526727095165,Poor,False,1.3,7.379512364224298e-290,False
